ID	GO_ID	Expression_profile	T30
PTET.51.1.G0180164	GO:0006813	Late induction	23,34850771
PTET.51.1.G0180165		Late induction	250,5808695
PTET.51.1.G0180166		none	14,70281313
PTET.51.1.G0180167		none	15,90627794
PTET.51.1.G0180168		none	220,2335756
PTET.51.1.G0180169		none	877,8433049
PTET.51.1.G0180170		Late induction	339,3381491
PTET.51.1.G0180171		none	246,0081514
PTET.51.1.G0180172		Late repression	501,9457651
PTET.51.1.G0180173		Late repression	94,52792156
PTET.51.1.G0180174		Early repression	116,8151307
PTET.51.1.G0180175		Intermediate peak	213,6359842
PTET.51.1.G0180176		none	576,7750342
PTET.51.1.G0180177		none	125,2375696
PTET.51.1.G0180178	GO:0007275	none	165,4295122
PTET.51.1.G0180179		none	42,29080507
PTET.51.1.G0180180	GO:0006355	Late repression	50,67570001
PTET.51.1.G0180181		Late induction	63,43744035
PTET.51.1.G0180182		none	119,7804245
PTET.51.1.G0180183		none	15,64929479
PTET.51.1.G0180184		none	57,79118714
PTET.51.1.G0180185	GO:0008152	none	2682,995061
PTET.51.1.G0180186	GO:0032012	Late repression	181,1252509
PTET.51.1.G0180187	GO:0006468	Late repression	64,0195652
PTET.51.1.G0180188		none	355,8549647
PTET.51.1.G0180189		none	314,252114
PTET.51.1.G0180190		Late peak	46,36157775
PTET.51.1.G0180191		Late repression	168,0640065
PTET.51.1.G0180192	GO:0006508	none	3000,990719
PTET.51.1.G0180193		Early peak	116,6259489
PTET.51.1.G0180194		none	1947,911665
PTET.51.1.G0180195		Late repression	74,01582767
PTET.51.1.G0180196		Late repression	241,0433422
PTET.51.1.G0180197	GO:0006468	none	326,5163624
PTET.51.1.G0180198		Intermediate peak	143,6159038
PTET.51.1.G0180199		Intermediate peak	90,53026221
PTET.51.1.G0180200	GO:0015671	Early repression	571,1111223
PTET.51.1.G0180201	GO:0006412	Early repression	417,4769667
PTET.51.1.G0180202		none	14,70645559
PTET.51.1.G0180203		Early repression	209,4103819
PTET.51.1.G0180204		Late induction	253,0060136
PTET.51.1.G0180205		Late repression	162,7215745
PTET.51.1.G0180206		Late repression	65,85057021
PTET.51.1.G0180207		Intermediate peak	17,03619113
PTET.51.1.G0180208		Early peak	20,3315944
PTET.51.1.G0180209		none	826,9367175
PTET.51.1.G0180210		Early repression	207,2820553
PTET.51.1.G0180211	GO:0008152	none	102,3092343
PTET.51.1.G0180212		none	65,01712791
PTET.51.1.G0180213		none	132,9613193
PTET.51.1.G0180214		Early repression	3637,364621
PTET.51.1.G0180215		none	31,35250446
PTET.51.1.G0180216		none	247,2503895
PTET.51.1.G0180217		Late induction	128,9681377
PTET.51.1.G0180218	GO:0006468	Late repression	44,19776953
PTET.51.1.G0180219		Intermediate peak	60,81734384
PTET.51.1.G0180220		none	258,8586507
